,Date,Infection,Death
0,18/03/2020,603.0,0.0
1,19/03/2020,749.0,1.0
2,20/03/2020,890.0,2.0
3,21/03/2020,1062.0,2.0
4,22/03/2020,1149.0,2.0
5,23/03/2020,1285.0,4.0
6,24/03/2020,1480.0,5.0
7,25/03/2020,1637.0,6.0
8,26/03/2020,1873.0,8.0
9,27/03/2020,2101.0,11.0
10,28/03/2020,2357.0,12.0
11,29/03/2020,2545.0,18.0
12,30/03/2020,2686.0,19.0
13,31/03/2020,2839.0,22.0
14,01/04/2020,3036.0,25.0
15,02/04/2020,3276.0,27.0
16,03/04/2020,3466.0,30.0
17,04/04/2020,3627.0,33.0
18,05/04/2020,3847.0,32.0
19,06/04/2020,3917.0,34.0
20,07/04/2020,4052.0,43.0
21,08/04/2020,4247.0,50.0
22,09/04/2020,4407.0,52.0
23,10/04/2020,4592.0,60.0
24,11/04/2020,4701.0,65.0
25,12/04/2020,4773.0,69.0
26,13/04/2020,4842.0,71.0
27,14/04/2020,4939.0,77.0
28,15/04/2020,5032.0,83.0
29,16/04/2020,5156.0,90.0
30,17/04/2020,5279.0,97.0
31,18/04/2020,5402.0,106.0
32,19/04/2020,5493.0,107.0
33,20/04/2020,5511.0,114.0
34,21/04/2020,5553.0,117.0
35,22/04/2020,5638.0,130.0
36,23/04/2020,5722.0,136.0
37,24/04/2020,5761.0,138.0
38,25/04/2020,5831.0,146.0
39,26/04/2020,5873.0,149.0
40,27/04/2020,5901.0,153.0
41,28/04/2020,5956.0,159.0
42,29/04/2020,5996.0,162.0
43,30/04/2020,6048.0,167.0
44,01/05/2020,6096.0,173.0
45,02/05/2020,6130.0,176.0
46,03/05/2020,6147.0,177.0
47,04/05/2020,6152.0,181.0
48,05/05/2020,6175.0,186.0
49,06/05/2020,6203.0,189.0
50,07/05/2020,6223.0,192.0
51,08/05/2020,6265.0,194.0
52,09/05/2020,6287.0,195.0
53,10/05/2020,6309.0,195.0
54,11/05/2020,6325.0,198.0
55,12/05/2020,6351.0,207.0
56,13/05/2020,6378.0,212.0
57,14/05/2020,6406.0,212.0
58,15/05/2020,6439.0,216.0
59,16/05/2020,6445.0,216.0
60,17/05/2020,6486.0,217.0
61,18/05/2020,6501.0,219.0
62,19/05/2020,6517.0,222.0
63,20/05/2020,6539.0,222.0
64,21/05/2020,6562.0,224.0
65,22/05/2020,6576.0,226.0
66,23/05/2020,6586.0,227.0
67,24/05/2020,6592.0,228.0
68,25/05/2020,6594.0,228.0
69,26/05/2020,6596.0,228.0
70,27/05/2020,6644.0,230.0
71,28/05/2020,6668.0,230.0
72,29/05/2020,6672.0,230.0
73,30/05/2020,6689.0,230.0
74,31/05/2020,6698.0,230.0
75,01/06/2020,6699.0,230.0
76,02/06/2020,6700.0,230.0
77,03/06/2020,6713.0,230.0
78,04/06/2020,6726.0,230.0
79,05/06/2020,6752.0,230.0
80,06/06/2020,6769.0,230.0
81,07/06/2020,6775.0,230.0
82,08/06/2020,6777.0,230.0
83,09/06/2020,6798.0,231.0
84,10/06/2020,6813.0,231.0
85,11/06/2020,6819.0,231.0
86,12/06/2020,6823.0,231.0
87,13/06/2020,6831.0,231.0
88,14/06/2020,6832.0,231.0
89,15/06/2020,6836.0,231.0
90,16/06/2020,6846.0,233.0
91,17/06/2020,6858.0,233.0
92,18/06/2020,6875.0,234.0
93,19/06/2020,6889.0,234.0
94,20/06/2020,6899.0,234.0
95,21/06/2020,6909.0,234.0
96,22/06/2020,6911.0,234.0
97,23/06/2020,6914.0,235.0
98,24/06/2020,6932.0,235.0
99,25/06/2020,6940.0,235.0
100,26/06/2020,6954.0,235.0
101,27/06/2020,6966.0,235.0
102,28/06/2020,6979.0,235.0
103,29/06/2020,6987.0,235.0
104,30/06/2020,7001.0,235.0
105,01/07/2020,7027.0,235.0
106,02/07/2020,7028.0,235.0
107,03/07/2020,7064.0,235.0
108,04/07/2020,7072.0,235.0
109,05/07/2020,7074.0,235.0
110,06/07/2020,7083.0,235.0
111,07/07/2020,7091.0,235.0
112,08/07/2020,7100.0,236.0
113,09/07/2020,7108.0,236.0
114,10/07/2020,7127.0,236.0
115,11/07/2020,7149.0,236.0
116,12/07/2020,7166.0,236.0
117,13/07/2020,7173.0,236.0
118,14/07/2020,7209.0,236.0
119,15/07/2020,7232.0,236.0
120,16/07/2020,7259.0,238.0
121,17/07/2020,7278.0,238.0
122,18/07/2020,7291.0,238.0
123,19/07/2020,7306.0,238.0
124,20/07/2020,7318.0,238.0
125,21/07/2020,7338.0,238.0
126,22/07/2020,7365.0,238.0
127,23/07/2020,7382.0,238.0
128,24/07/2020,7398.0,238.0
129,25/07/2020,7412.0,238.0
130,26/07/2020,7426.0,238.0
131,27/07/2020,7434.0,238.0
132,28/07/2020,7445.0,239.0
133,29/07/2020,7475.0,239.0
134,30/07/2020,7488.0,239.0
135,31/07/2020,7516.0,239.0
136,01/08/2020,7527.0,239.0
137,02/08/2020,7535.0,239.0
138,03/08/2020,7542.0,239.0
139,04/08/2020,7601.0,239.0
140,05/08/2020,7627.0,239.0
141,06/08/2020,7687.0,239.0
142,07/08/2020,7713.0,239.0
143,08/08/2020,7763.0,239.0
144,09/08/2020,7824.0,239.0
145,10/08/2020,7850.0,239.0
146,11/08/2020,7882.0,239.0
147,12/08/2020,7937.0,239.0
148,13/08/2020,8002.0,240.0
149,14/08/2020,8072.0,242.0
150,15/08/2020,8114.0,242.0
151,16/08/2020,8141.0,242.0
152,17/08/2020,8175.0,242.0
153,18/08/2020,8264.0,242.0
154,19/08/2020,8369.0,242.0
155,20/08/2020,8475.0,242.0
156,21/08/2020,8541.0,242.0
157,22/08/2020,8608.0,242.0
158,23/08/2020,8661.0,243.0
159,24/08/2020,8675.0,243.0
160,25/08/2020,8734.0,243.0
161,26/08/2020,8802.0,243.0
162,27/08/2020,8851.0,243.0
163,28/08/2020,8920.0,243.0
164,29/08/2020,9000.0,243.0
165,30/08/2020,9045.0,243.0
166,31/08/2020,9083.0,243.0
167,01/09/2020,9128.0,243.0
168,02/09/2020,9181.0,243.0
169,03/09/2020,9218.0,243.0
170,04/09/2020,9272.0,243.0
171,05/09/2020,9315.0,243.0
172,06/09/2020,9355.0,243.0
173,07/09/2020,9403.0,243.0
174,08/09/2020,9472.0,245.0
175,09/09/2020,9521.0,245.0
176,10/09/2020,9570.0,245.0
177,11/09/2020,9634.0,246.0
178,12/09/2020,9707.0,246.0
179,13/09/2020,9754.0,246.0
180,14/09/2020,9768.0,247.0
181,15/09/2020,9822.0,247.0
182,16/09/2020,9896.0,247.0
183,17/09/2020,9953.0,247.0
184,18/09/2020,10013.0,247.0
185,19/09/2020,10075.0,247.0
186,20/09/2020,10106.0,247.0
187,21/09/2020,10147.0,247.0
188,22/09/2020,10201.0,248.0
189,23/09/2020,10246.0,248.0
190,24/09/2020,10321.0,249.0
191,25/09/2020,10407.0,251.0
192,26/09/2020,10473.0,252.0
193,27/09/2020,10544.0,251.0
194,28/09/2020,10595.0,253.0
195,29/09/2020,10669.0,254.0
196,30/09/2020,10717.0,255.0
197,01/10/2020,10826.0,255.0
198,02/10/2020,10938.0,255.0
199,03/10/2020,11006.0,256.0
200,04/10/2020,11077.0,256.0
201,05/10/2020,11143.0,255.0
202,06/10/2020,11273.0,256.0
203,07/10/2020,11377.0,256.0
204,08/10/2020,11547.0,256.0
205,09/10/2020,11770.0,256.0
206,10/10/2020,11894.0,256.0
207,11/10/2020,12096.0,256.0
208,12/10/2020,12225.0,257.0
209,13/10/2020,12400.0,260.0
210,14/10/2020,12637.0,260.0
211,15/10/2020,12874.0,262.0
212,16/10/2020,13217.0,263.0
213,17/10/2020,13394.0,263.0
214,18/10/2020,13642.0,263.0
215,19/10/2020,13947.0,265.0
216,20/10/2020,14189.0,265.0
217,21/10/2020,14628.0,265.0
218,22/10/2020,15174.0,267.0
219,23/10/2020,15768.0,268.0
220,24/10/2020,16105.0,268.0
221,25/10/2020,16536.0,268.0
222,26/10/2020,17077.0,268.0
223,27/10/2020,17775.0,276.0
224,28/10/2020,18405.0,279.0
225,29/10/2020,19093.0,281.0
226,30/10/2020,20087.0,285.0
227,31/10/2020,20559.0,285.0
228,01/11/2020,20947.0,287.0
229,02/11/2020,21770.0,294.0
230,03/11/2020,22449.0,301.0
231,04/11/2020,23375.0,307.0
232,05/11/2020,24304.0,310.0
233,06/11/2020,25324.0,316.0
234,07/11/2020,25702.0,316.0
235,08/11/2020,26331.0,320.0
236,09/11/2020,27216.0,325.0
237,10/11/2020,28013.0,334.0
238,11/11/2020,28937.0,342.0
239,12/11/2020,30229.0,352.0
240,13/11/2020,31375.0,356.0
241,14/11/2020,31990.0,362.0
242,15/11/2020,32540.0,363.0
243,16/11/2020,33436.0,370.0
244,17/11/2020,34122.0,381.0
245,18/11/2020,35043.0,391.0
246,19/11/2020,36067.0,402.0
247,20/11/2020,37106.0,411.0
248,21/11/2020,37561.0,416.0
249,22/11/2020,38284.0,420.0
250,23/11/2020,39250.0,434.0
251,24/11/2020,39943.0,452.0
252,25/11/2020,40821.0,465.0
253,26/11/2020,41657.0,491.0
254,27/11/2020,42645.0,508.0
255,28/11/2020,43010.0,515.0
256,29/11/2020,43590.0,517.0
257,30/11/2020,44345.0,546.0
258,01/12/2020,45140.0,572.0
259,02/12/2020,46061.0,592.0
260,03/12/2020,47108.0,608.0
261,04/12/2020,48239.0,644.0
262,05/12/2020,48758.0,666.0
263,06/12/2020,49475.0,674.0
264,07/12/2020,50377.0,702.0
265,08/12/2020,51163.0,736.0
266,09/12/2020,52125.0,759.0
267,10/12/2020,53442.0,805.0
268,11/12/2020,54946.0,837.0
269,12/12/2020,55503.0,846.0
270,13/12/2020,56319.0,855.0
271,14/12/2020,57416.0,886.0
272,15/12/2020,58259.0,936.0
273,16/12/2020,59628.0,979.0
274,17/12/2020,60738.0,1000.0
275,18/12/2020,61978.0,1041.0
276,19/12/2020,62595.0,1056.0
277,20/12/2020,63561.0,1062.0
278,21/12/2020,64615.0,1090.0
279,22/12/2020,65450.0,1137.0
280,23/12/2020,66722.0,1198.0
281,24/12/2020,67521.0,1213.0
282,25/12/2020,68088.0,1229.0
283,26/12/2020,68733.0,1257.0
284,27/12/2020,69172.0,1272.0
285,28/12/2020,69998.0,1328.0
286,29/12/2020,70725.0,1378.0
287,30/12/2020,72025.0,1428.0
288,31/12/2020,72794.0,1441.0
289,01/01/2021,73377.0,1453.0
290,02/01/2021,73921.0,1466.0
291,03/01/2021,74440.0,1476.0
292,04/01/2021,74986.0,1531.0
293,05/01/2021,75856.0,1582.0
294,06/01/2021,76961.0,1632.0
295,07/01/2021,78054.0,1686.0
296,08/01/2021,79218.0,1740.0
297,09/01/2021,79805.0,1762.0
298,10/01/2021,80415.0,1780.0
299,11/01/2021,81005.0,1838.0
300,12/01/2021,81705.0,1870.0
301,13/01/2021,82440.0,1919.0
302,14/01/2021,83444.0,1977.0
303,15/01/2021,84196.0,2035.0
304,16/01/2021,84606.0,2048.0
305,17/01/2021,85053.0,2056.0
306,18/01/2021,85524.0,2104.0
307,19/01/2021,86090.0,2145.0
308,20/01/2021,87004.0,2187.0
309,21/01/2021,87825.0,2216.0
310,22/01/2021,88587.0,2263.0
311,23/01/2021,88953.0,2279.0
312,24/01/2021,89422.0,2287.0
313,25/01/2021,89806.0,2330.0
314,26/01/2021,90410.0,2380.0
315,27/01/2021,91077.0,2417.0
316,28/01/2021,91683.0,2449.0
317,29/01/2021,92383.0,2503.0
318,30/01/2021,92609.0,2513.0
319,31/01/2021,93016.0,2529.0
320,01/02/2021,93337.0,2571.0
321,02/02/2021,93729.0,2616.0
322,03/02/2021,94274.0,2646.0
323,04/02/2021,94777.0,2683.0
324,05/02/2021,95227.0,2718.0
325,06/02/2021,95414.0,2725.0
326,07/02/2021,95703.0,2730.0
327,08/02/2021,96053.0,2762.0
328,09/02/2021,96347.0,2798.0
329,10/02/2021,96737.0,2824.0
330,11/02/2021,97116.0,2844.0
331,12/02/2021,97496.0,2871.0
332,13/02/2021,97619.0,2875.0
333,14/02/2021,97852.0,2877.0
334,15/02/2021,98111.0,2905.0
335,16/02/2021,98373.0,2926.0
336,17/02/2021,98754.0,2943.0
337,18/02/2021,99197.0,2960.0
338,19/02/2021,99545.0,2987.0
339,20/02/2021,99772.0,2987.0
340,21/02/2021,100108.0,2991.0
341,22/02/2021,100342.0,3018.0
342,23/02/2021,100624.0,3031.0
343,24/02/2021,101001.0,3062.0
344,25/02/2021,101428.0,3070.0
345,26/02/2021,101817.0,3089.0
346,27/02/2021,101988.0,3092.0
347,28/02/2021,102253.0,3095.0
348,01/03/2021,102427.0,3111.0
349,02/03/2021,102689.0,3124.0
350,03/03/2021,103120.0,3133.0
351,04/03/2021,103512.0,3151.0
352,05/03/2021,103862.0,3160.0
353,06/03/2021,104016.0,3161.0
354,07/03/2021,104239.0,3162.0
355,08/03/2021,104420.0,3168.0
356,09/03/2021,104739.0,3177.0
357,10/03/2021,105218.0,3186.0
358,11/03/2021,105692.0,3194.0
359,12/03/2021,106155.0,3210.0
360,13/03/2021,106345.0,3212.0
361,14/03/2021,106690.0,3212.0
362,15/03/2021,107031.0,3221.0
363,16/03/2021,107413.0,3224.0
364,17/03/2021,108075.0,3231.0
365,18/03/2021,108670.0,3243.0
366,19/03/2021,109291.0,3254.0
367,20/03/2021,109627.0,3254.0
368,21/03/2021,110056.0,3256.0
369,22/03/2021,110504.0,3264.0
370,23/03/2021,110927.0,3276.0
371,24/03/2021,111766.0,3285.0
372,25/03/2021,112699.0,3290.0
373,26/03/2021,113477.0,3302.0
374,27/03/2021,114039.0,3305.0
375,28/03/2021,114631.0,3306.0
376,29/03/2021,115299.0,3313.0
377,30/03/2021,115907.0,3322.0
378,31/03/2021,116777.0,3328.0
379,01/04/2021,117659.0,3334.0
380,02/04/2021,118251.0,3337.0
381,03/04/2021,118807.0,3340.0
382,04/04/2021,119334.0,3342.0
383,05/04/2021,119728.0,3343.0
384,06/04/2021,120110.0,3353.0
385,07/04/2021,120845.0,3362.0
386,08/04/2021,121811.0,3377.0
387,09/04/2021,122829.0,3387.0
388,10/04/2021,123362.0,3394.0
389,11/04/2021,124088.0,3398.0
390,12/04/2021,124720.0,3405.0
391,13/04/2021,125378.0,3414.0
392,14/04/2021,126584.0,3422.0
