,Date,Infection,Death
501,01/08/2021,157557.0,3906.0
502,02/08/2021,157685.0,3906.0
503,03/08/2021,157847.0,3906.0
504,04/08/2021,158035.0,3907.0
505,05/08/2021,158184.0,3908.0
506,06/08/2021,158347.0,3911.0
507,07/08/2021,158401.0,3911.0
508,08/08/2021,158456.0,3911.0
509,09/08/2021,158582.0,3912.0
510,10/08/2021,158770.0,3913.0
511,11/08/2021,159019.0,3914.0
512,12/08/2021,159280.0,3914.0
513,13/08/2021,159535.0,3916.0
514,14/08/2021,159628.0,3916.0
515,15/08/2021,159755.0,3916.0
516,16/08/2021,160004.0,3916.0
517,17/08/2021,160300.0,3918.0
518,18/08/2021,160756.0,3918.0
519,19/08/2021,161116.0,3919.0
520,20/08/2021,161510.0,3919.0
521,21/08/2021,161586.0,3919.0
522,22/08/2021,161748.0,3919.0
523,23/08/2021,162198.0,3919.0
524,24/08/2021,162639.0,3921.0
525,25/08/2021,163286.0,3922.0
526,26/08/2021,163788.0,3921.0
527,27/08/2021,164357.0,3921.0
528,28/08/2021,164543.0,3922.0
529,29/08/2021,164804.0,3922.0
530,30/08/2021,165283.0,3924.0
531,31/08/2021,165947.0,3927.0
532,01/09/2021,166858.0,3932.0
533,02/09/2021,167735.0,3931.0
534,03/09/2021,168411.0,3931.0
535,04/09/2021,168780.0,3932.0
536,05/09/2021,169229.0,3933.0
537,06/09/2021,169778.0,3937.0
538,07/09/2021,170527.0,3938.0
539,08/09/2021,171357.0,3940.0
540,09/09/2021,172179.0,3945.0
541,10/09/2021,172796.0,3945.0
542,11/09/2021,173111.0,3947.0
543,12/09/2021,173410.0,3948.0
544,13/09/2021,173937.0,3949.0
545,14/09/2021,174462.0,3952.0
546,15/09/2021,175122.0,3954.0
547,16/09/2021,175663.0,3957.0
548,17/09/2021,176126.0,3959.0
549,18/09/2021,176301.0,3959.0
550,19/09/2021,176598.0,3962.0
551,20/09/2021,176947.0,3966.0
552,21/09/2021,177448.0,3969.0
553,22/09/2021,177961.0,3969.0
554,23/09/2021,178373.0,3972.0
555,24/09/2021,178837.0,3976.0
556,25/09/2021,179017.0,3977.0
557,26/09/2021,179163.0,3978.0
558,27/09/2021,179508.0,3983.0
559,28/09/2021,179947.0,3989.0
560,29/09/2021,180422.0,3993.0
561,30/09/2021,180842.0,3994.0
562,01/10/2021,181176.0,3998.0
563,02/10/2021,181333.0,3998.0
564,03/10/2021,181530.0,3999.0
565,04/10/2021,181744.0,4003.0
566,05/10/2021,182157.0,4005.0
567,06/10/2021,182635.0,4005.0
568,07/10/2021,183111.0,4009.0
569,08/10/2021,183502.0,4015.0
570,09/10/2021,183715.0,4017.0
571,10/10/2021,183939.0,4017.0
572,11/10/2021,184250.0,4020.0
573,12/10/2021,184720.0,4027.0
574,13/10/2021,185068.0,4031.0
575,14/10/2021,185514.0,4036.0
576,15/10/2021,185949.0,4040.0
577,16/10/2021,186073.0,4041.0
578,17/10/2021,186239.0,4042.0
579,18/10/2021,186616.0,4046.0
580,19/10/2021,187105.0,4052.0
581,20/10/2021,187669.0,4053.0
582,21/10/2021,188328.0,4056.0
583,22/10/2021,188861.0,4061.0
584,23/10/2021,189079.0,4061.0
585,24/10/2021,189296.0,4061.0
586,25/10/2021,189762.0,4066.0
587,26/10/2021,190496.0,4070.0
588,27/10/2021,191392.0,4075.0
589,28/10/2021,192227.0,4082.0
590,29/10/2021,192988.0,4091.0
591,30/10/2021,193240.0,4091.0
592,31/10/2021,193532.0,4092.0
593,01/11/2021,193812.0,4094.0
594,02/11/2021,194440.0,4104.0
595,03/11/2021,195485.0,4111.0
596,04/11/2021,196742.0,4114.0
597,05/11/2021,198061.0,4119.0
598,06/11/2021,198512.0,4121.0
599,07/11/2021,198911.0,4121.0
600,08/11/2021,199784.0,4130.0
601,09/11/2021,201118.0,4138.0
602,10/11/2021,202494.0,4145.0
603,11/11/2021,203944.0,4158.0
604,12/11/2021,205403.0,4167.0
605,13/11/2021,205829.0,4167.0
606,14/11/2021,206403.0,4170.0
607,15/11/2021,207736.0,4185.0
608,16/11/2021,209172.0,4194.0
609,17/11/2021,211050.0,4199.0
610,18/11/2021,212656.0,4203.0
611,19/11/2021,214856.0,4212.0
612,20/11/2021,215559.0,4213.0
613,21/11/2021,216416.0,4215.0
614,22/11/2021,218437.0,4220.0
615,23/11/2021,220613.0,4233.0
616,24/11/2021,223089.0,4247.0
617,25/11/2021,225660.0,4251.0
618,26/11/2021,228202.0,4257.0
619,27/11/2021,228986.0,4260.0
620,28/11/2021,230107.0,4263.0
621,29/11/2021,232333.0,4277.0
622,30/11/2021,234653.0,4286.0
623,01/12/2021,237266.0,4294.0
624,02/12/2021,239981.0,4302.0
625,03/12/2021,242903.0,4319.0
626,04/12/2021,243907.0,4321.0
627,05/12/2021,244721.0,4324.0
628,06/12/2021,246744.0,4336.0
629,07/12/2021,248844.0,4356.0
630,08/12/2021,251689.0,4374.0
631,09/12/2021,253770.0,4389.0
632,10/12/2021,255991.0,4409.0
633,11/12/2021,256579.0,4409.0
634,12/12/2021,257290.0,4410.0
635,13/12/2021,258817.0,4420.0
636,14/12/2021,260707.0,4434.0
637,15/12/2021,262365.0,4452.0
638,16/12/2021,264174.0,4470.0
639,17/12/2021,265894.0,4484.0
640,18/12/2021,266394.0,4486.0
641,19/12/2021,266805.0,4488.0
642,20/12/2021,268105.0,4506.0
643,21/12/2021,269542.0,4528.0
644,22/12/2021,271150.0,4547.0
645,23/12/2021,272305.0,4565.0
646,24/12/2021,272945.0,4570.0
647,25/12/2021,273280.0,4572.0
648,26/12/2021,273613.0,4573.0
649,27/12/2021,274569.0,4587.0
650,28/12/2021,275769.0,4610.0
651,29/12/2021,277170.0,4619.0
652,30/12/2021,278847.0,4632.0
653,31/12/2021,279668.0,4638.0
654,01/01/2022,279971.0,4638.0
655,02/01/2022,280565.0,4638.0
656,03/01/2022,281914.0,4659.0
657,04/01/2022,284553.0,4671.0
658,05/01/2022,287029.0,4676.0
659,06/01/2022,289631.0,4690.0
660,07/01/2022,292117.0,4696.0
661,08/01/2022,293320.0,4699.0
662,09/01/2022,294178.0,4699.0
663,10/01/2022,296181.0,4712.0
664,11/01/2022,298614.0,4723.0
665,12/01/2022,301608.0,4729.0
666,13/01/2022,304961.0,4732.0
667,14/01/2022,307913.0,4734.0
