;Date;Confirmed Cases;Deaths;Recoveries
0;25.02.20;16;0;14
1;26.02.20;21;0;15
2;27.02.20;26;0;16
3;28.02.20;53;0;16
4;29.02.20;66;0;16
5;01.03.20;117;0;16
6;02.03.20;150;0;16
7;03.03.20;188;0;16
8;04.03.20;240;0;16
9;05.03.20;349;0;16
10;06.03.20;534;0;17
11;07.03.20;684;0;18
12;08.03.20;847;0;18
13;09.03.20;1112;2;18
14;10.03.20;1296;2;18
15;11.03.20;1567;3;25
16;12.03.20;2369;5;25
17;13.03.20;3062;5;46
18;14.03.20;3795;8;46
19;15.03.20;4838;12;46
20;16.03.20;6012;12;67
21;17.03.20;7156;12;67
22;18.03.20;8198;12;105
23;19.03.20;10999;20;113
24;20.03.20;13957;31;180
25;21.03.20;16662;47;233
26;22.03.20;18610;55;266
27;23.03.20;22672;86;266
28;24.03.20;27436;114;3243
29;25.03.20;31554;149;3547
30;26.03.20;36508;198;5673
31;27.03.20;42288;253;6658
32;28.03.20;48582;325;8481
33;29.03.20;52547;389;9211
34;30.03.20;57298;455;13500
35;31.03.20;61913;583;16100
36;01.04.20;67366;732;18700
37;02.04.20;73522;872;22440
38;03.04.20;79696;1017;24575
39;04.04.20;85778;1158;26400
40;05.04.20;91714;1342;28700
41;06.04.20;95391;1434;28700
42;07.04.20;99225;1607;36081
43;08.04.20;103228;1861;46300
44;09.04.20;108202;2107;52407
45;10.04.20;113525;2373;53913
46;11.04.20;117658;2544;57400
47;12.04.20;120479;2673;60300
48;13.04.20;123016;2799;64300
49;14.04.20;125098;2969;68200
50;15.04.20;127584;3254;72600
51;16.04.20;130450;3569;77000
52;17.04.20;133830;3868;83114
53;18.04.20;137439;4110;85400
54;19.04.20;139897;4294;88000
55;20.04.20;141672;4404;91500
56;21.04.20;143457;4598;95200
57;22.04.20;145694;4879;99400
58;23.04.20;148046;5094;103300
59;24.04.20;150383;5321;109800
60;25.04.20;152438;5500;109800
61;26.04.20;154175;5640;112000
62;27.04.20;155193;5750;114500
63;28.04.20;156337;5913;117400
64;29.04.20;157641;6115;120400
65;30.04.20;159119;6288;123500
66;01.05.20;160758;6481;126900
67;02.05.20;161703;6575;129000
68;03.05.20;162496;6649;130600
69;04.05.20;163175;6692;132700
70;05.05.20;163860;6831;135100
71;06.05.20;164807;6996;139900
72;07.05.20;166091;7119;141700
73;08.05.20;167300;7266;141700
74;09.05.20;168551;7369;143300
75;10.05.20;169218;7395;144400
76;11.05.20;169575;7417;145617
77;12.05.20;170508;7533;147200
78;13.05.20;171306;7634;148700
79;14.05.20;172239;7723;150300
80;15.05.20;173152;7824;151597
81;16.05.20;173772;7881;152600
82;17.05.20;174355;7914;154011
83;18.05.20;174697;7935;155041
84;19.05.20;175210;8007;155681
85;20.05.20;176007;8090;156966
86;21.05.20;176752;8147;158087
87;22.05.20;177212;8174;159064
88;23.05.20;177850;8216;159716
89;24.05.20;178281;8247;160281
90;25.05.20;178570;8257;161199
91;26.05.20;179002;8302;161967
92;27.05.20;179364;8349;162820
93;28.05.20;179717;8411;163360
94;29.05.20;180458;8450;164245
95;30.05.20;181196;8489;164908
96;31.05.20;181482;8500;165352
97;01.06.20;181815;8511;165632
98;02.06.20;182028;8522;166609
99;03.06.20;182370;8551;167453
100;04.06.20;182764;8581;167909
101;05.06.20;183271;8613;168480
102;06.06.20;183678;8646;168958
103;07.06.20;183979;8668;169224
104;08.06.20;184193;8674;169556
105;09.06.20;184543;8711;170129
106;10.06.20;184861;8729;170630
107;11.06.20;185416;8755;170961
108;12.06.20;185674;8763;171535
109;13.06.20;186022;8781;171970
110;14.06.20;186269;8787;172089
111;15.06.20;186461;8791;172692
112;16.06.20;186839;8800;172842
113;17.06.20;187184;8830;173599
114;18.06.20;187764;8856;173847
115;19.06.20;188534;8872;173972
116;20.06.20;189135;8883;174609
117;21.06.20;189822;8882;174740
118;22.06.20;190359;8885;175143
119;23.06.20;190862;8895;175825
120;24.06.20;191449;8914;176422
121;25.06.20;192079;8927;176764
122;26.06.20;192556;8948;177149
123;27.06.20;193243;8954;177518
124;28.06.20;193499;8957;177657
125;29.06.20;193761;8961;177770
126;30.06.20;194259;8973;178100
127;01.07.20;194725;8985;179100
128;02.07.20;195228;8994;179800
129;03.07.20;195674;9003;180300
130;04.07.20;196096;9010;181000
131;05.07.20;196335;9012;181719
132;06.07.20;196554;9016;182160
133;07.07.20;196944;9024;182661
134;08.07.20;197341;9036;183153
135;09.07.20;197783;9048;183728
136;10.07.20;198178;9054;184028
137;11.07.20;198556;9060;184266
138;12.07.20;198804;9063;184414
139;13.07.20;198963;9064;185100
140;14.07.20;199375;9068;185100
141;15.07.20;199726;9071;186000
142;16.07.20;200260;9078;186400
143;17.07.20;200843;9082;186900
144;18.07.20;201372;9083;187200
145;19.07.20;201574;9084;187400
146;20.07.20;201823;9086;188070
147;21.07.20;202345;9090;188221
148;22.07.20;202799;9095;188628
149;23.07.20;203368;9101;189140
150;24.07.20;204183;9111;189696
151;25.07.20;204964;9118;189919
152;26.07.20;205269;9118;190055
153;27.07.20;205609;9118;190314
154;28.07.20;206242;9122;190711
155;29.07.20;206926;9128;191279
156;30.07.20;207828;9134;191551
157;31.07.20;208698;9141;191992
158;01.08.20;209653;9148;192636
159;02.08.20;209893;9141;192908
160;03.08.20;210402;9148;193594
161;04.08.20;211281;9156;194173
162;05.08.20;212022;9168;194568
163;06.08.20;213067;9175;195281
164;07.08.20;214214;9183;195935
165;08.08.20;215336;9195;196550
166;09.08.20;215891;9196;196783
167;10.08.20;216327;9197;197382
168;11.08.20;217293;9201;198347
169;12.08.20;218519;9207;198991
170;13.08.20;219964;9211;199654
171;14.08.20;221413;9225;200440
172;15.08.20;222828;9231;200756
173;16.08.20;223453;9231;201187
